code,fk_name,parent,concept_name,source,standard_semantic_hierarchy
11-1010,Chief Executives,None,Broad Occupation SOC Code,2018 SOC,No
11-1020,General and Operations Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-1030,Legislators,None,Broad Occupation SOC Code,2018 SOC,No
11-2010,Advertising and Promotions Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-2020,Marketing and Sales Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-2030,Public Relations and Fundraising Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-3010,Administrative Services and Facilities Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-3020,Computer and Information Systems Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-3030,Financial Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-3050,Industrial Production Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-3060,Purchasing Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-3070,"Transportation, Storage, and Distribution Managers",None,Broad Occupation SOC Code,2018 SOC,No
11-3110,Compensation and Benefits Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-3120,Human Resources Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-3130,Training and Development Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",None,Broad Occupation SOC Code,2018 SOC,No
11-9020,Construction Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-9030,Education and Childcare Administrators,None,Broad Occupation SOC Code,2018 SOC,No
11-9040,Architectural and Engineering Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-9050,Food Service Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-9070,Entertainment and Recreation Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-9080,Lodging Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-9110,Medical and Health Services Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-9120,Natural Sciences Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-9130,Postmasters and Mail Superintendents,None,Broad Occupation SOC Code,2018 SOC,No
11-9140,"Property, Real Estate, and Community Association Managers",None,Broad Occupation SOC Code,2018 SOC,No
11-9150,Social and Community Service Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-9160,Emergency Management Directors,None,Broad Occupation SOC Code,2018 SOC,No
11-9170,Personal Service Managers,None,Broad Occupation SOC Code,2018 SOC,No
11-9190,Miscellaneous Managers,None,Broad Occupation SOC Code,2018 SOC,No
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",None,Broad Occupation SOC Code,2018 SOC,No
13-1020,Buyers and Purchasing Agents,None,Broad Occupation SOC Code,2018 SOC,No
13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",None,Broad Occupation SOC Code,2018 SOC,No
13-1040,Compliance Officers,None,Broad Occupation SOC Code,2018 SOC,No
13-1050,Cost Estimators,None,Broad Occupation SOC Code,2018 SOC,No
13-1070,Human Resources Workers,None,Broad Occupation SOC Code,2018 SOC,No
13-1080,Logisticians and Project Management Specialists,None,Broad Occupation SOC Code,2018 SOC,No
13-1110,Management Analysts,None,Broad Occupation SOC Code,2018 SOC,No
13-1120,"Meeting, Convention, and Event Planners",None,Broad Occupation SOC Code,2018 SOC,No
13-1130,Fundraisers,None,Broad Occupation SOC Code,2018 SOC,No
13-1140,"Compensation, Benefits, and Job Analysis Specialists",None,Broad Occupation SOC Code,2018 SOC,No
13-1150,Training and Development Specialists,None,Broad Occupation SOC Code,2018 SOC,No
13-1160,Market Research Analysts and Marketing Specialists,None,Broad Occupation SOC Code,2018 SOC,No
13-1190,Miscellaneous Business Operations Specialists,None,Broad Occupation SOC Code,2018 SOC,No
13-2010,Accountants and Auditors,None,Broad Occupation SOC Code,2018 SOC,No
13-2020,Property Appraisers and Assessors,None,Broad Occupation SOC Code,2018 SOC,No
13-2030,Budget Analysts,None,Broad Occupation SOC Code,2018 SOC,No
13-2040,Credit Analysts,None,Broad Occupation SOC Code,2018 SOC,No
13-2050,Financial Analysts and Advisors,None,Broad Occupation SOC Code,2018 SOC,No
13-2060,Financial Examiners,None,Broad Occupation SOC Code,2018 SOC,No
13-2070,Credit Counselors and Loan Officers,None,Broad Occupation SOC Code,2018 SOC,No
13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents",None,Broad Occupation SOC Code,2018 SOC,No
13-2090,Miscellaneous Financial Specialists,None,Broad Occupation SOC Code,2018 SOC,No
15-1210,Computer and Information Analysts,None,Broad Occupation SOC Code,2018 SOC,No
15-1220,Computer and Information Research Scientists,None,Broad Occupation SOC Code,2018 SOC,No
15-1230,Computer Support Specialists,None,Broad Occupation SOC Code,2018 SOC,No
15-1240,Database and Network Administrators and Architects,None,Broad Occupation SOC Code,2018 SOC,No
15-1250,"Software and Web Developers, Programmers, and Testers",None,Broad Occupation SOC Code,2018 SOC,No
15-1290,Miscellaneous Computer Occupations,None,Broad Occupation SOC Code,2018 SOC,No
15-2010,Actuaries,None,Broad Occupation SOC Code,2018 SOC,No
15-2020,Mathematicians,None,Broad Occupation SOC Code,2018 SOC,No
15-2030,Operations Research Analysts,None,Broad Occupation SOC Code,2018 SOC,No
15-2040,Statisticians,None,Broad Occupation SOC Code,2018 SOC,No
15-2050,Data Scientists,None,Broad Occupation SOC Code,2018 SOC,No
15-2090,Miscellaneous Mathematical Science Occupations,None,Broad Occupation SOC Code,2018 SOC,No
17-1010,"Architects, Except Naval",None,Broad Occupation SOC Code,2018 SOC,No
17-1020,"Surveyors, Cartographers, and Photogrammetrists",None,Broad Occupation SOC Code,2018 SOC,No
17-2010,Aerospace Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2020,Agricultural Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2030,Bioengineers and Biomedical Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2040,Chemical Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2050,Civil Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2060,Computer Hardware Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2070,Electrical and Electronics Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2080,Environmental Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2110,"Industrial Engineers, Including Health and Safety",None,Broad Occupation SOC Code,2018 SOC,No
17-2120,Marine Engineers and Naval Architects,None,Broad Occupation SOC Code,2018 SOC,No
17-2130,Materials Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2140,Mechanical Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",None,Broad Occupation SOC Code,2018 SOC,No
17-2160,Nuclear Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2170,Petroleum Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-2190,Miscellaneous Engineers,None,Broad Occupation SOC Code,2018 SOC,No
17-3010,Drafters,None,Broad Occupation SOC Code,2018 SOC,No
17-3020,"Engineering Technologists and Technicians, Except Drafters",None,Broad Occupation SOC Code,2018 SOC,No
17-3030,Surveying and Mapping Technicians,None,Broad Occupation SOC Code,2018 SOC,No
19-1010,Agricultural and Food Scientists,None,Broad Occupation SOC Code,2018 SOC,No
19-1020,Biological Scientists,None,Broad Occupation SOC Code,2018 SOC,No
19-1030,Conservation Scientists and Foresters,None,Broad Occupation SOC Code,2018 SOC,No
19-1040,Medical Scientists,None,Broad Occupation SOC Code,2018 SOC,No
19-1090,Miscellaneous Life Scientists,None,Broad Occupation SOC Code,2018 SOC,No
19-2010,Astronomers and Physicists,None,Broad Occupation SOC Code,2018 SOC,No
19-2020,Atmospheric and Space Scientists,None,Broad Occupation SOC Code,2018 SOC,No
19-2030,Chemists and Materials Scientists,None,Broad Occupation SOC Code,2018 SOC,No
19-2040,Environmental Scientists and Geoscientists,None,Broad Occupation SOC Code,2018 SOC,No
19-2090,Miscellaneous Physical Scientists,None,Broad Occupation SOC Code,2018 SOC,No
19-3010,Economists,None,Broad Occupation SOC Code,2018 SOC,No
19-3020,Survey Researchers,None,Broad Occupation SOC Code,2018 SOC,No
19-3030,Psychologists,None,Broad Occupation SOC Code,2018 SOC,No
19-3040,Sociologists,None,Broad Occupation SOC Code,2018 SOC,No
19-3050,Urban and Regional Planners,None,Broad Occupation SOC Code,2018 SOC,No
19-3090,Miscellaneous Social Scientists and Related Workers,None,Broad Occupation SOC Code,2018 SOC,No
19-4010,Agricultural and Food Science Technicians,None,Broad Occupation SOC Code,2018 SOC,No
19-4020,Biological Technicians,None,Broad Occupation SOC Code,2018 SOC,No
19-4030,Chemical Technicians,None,Broad Occupation SOC Code,2018 SOC,No
19-4040,Environmental Science and Geoscience Technicians,None,Broad Occupation SOC Code,2018 SOC,No
19-4050,Nuclear Technicians,None,Broad Occupation SOC Code,2018 SOC,No
19-4060,Social Science Research Assistants,None,Broad Occupation SOC Code,2018 SOC,No
19-4070,Forest and Conservation Technicians,None,Broad Occupation SOC Code,2018 SOC,No
19-4090,"Miscellaneous Life, Physical, and Social Science Technicians",None,Broad Occupation SOC Code,2018 SOC,No
19-5010,Occupational Health and Safety Specialists and Technicians,None,Broad Occupation SOC Code,2018 SOC,No
21-1010,Counselors,None,Broad Occupation SOC Code,2018 SOC,No
21-1020,Social Workers,None,Broad Occupation SOC Code,2018 SOC,No
21-1090,Miscellaneous Community and Social Service Specialists,None,Broad Occupation SOC Code,2018 SOC,No
21-2010,Clergy,None,Broad Occupation SOC Code,2018 SOC,No
21-2020,"Directors, Religious Activities and Education",None,Broad Occupation SOC Code,2018 SOC,No
21-2090,Miscellaneous Religious Workers,None,Broad Occupation SOC Code,2018 SOC,No
23-1010,Lawyers and Judicial Law Clerks,None,Broad Occupation SOC Code,2018 SOC,No
23-1020,"Judges, Magistrates, and Other Judicial Workers",None,Broad Occupation SOC Code,2018 SOC,No
23-2010,Paralegals and Legal Assistants,None,Broad Occupation SOC Code,2018 SOC,No
23-2090,Miscellaneous Legal Support Workers,None,Broad Occupation SOC Code,2018 SOC,No
25-1010,"Business Teachers, Postsecondary",None,Broad Occupation SOC Code,2018 SOC,No
25-1020,"Math and Computer Science Teachers, Postsecondary",None,Broad Occupation SOC Code,2018 SOC,No
25-1030,"Engineering and Architecture Teachers, Postsecondary",None,Broad Occupation SOC Code,2018 SOC,No
25-1040,"Life Sciences Teachers, Postsecondary",None,Broad Occupation SOC Code,2018 SOC,No
25-1050,"Physical Sciences Teachers, Postsecondary",None,Broad Occupation SOC Code,2018 SOC,No
25-1060,"Social Sciences Teachers, Postsecondary",None,Broad Occupation SOC Code,2018 SOC,No
25-1070,"Health Teachers, Postsecondary",None,Broad Occupation SOC Code,2018 SOC,No
25-1080,"Education and Library Science Teachers, Postsecondary",None,Broad Occupation SOC Code,2018 SOC,No
25-1110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",None,Broad Occupation SOC Code,2018 SOC,No
25-1120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",None,Broad Occupation SOC Code,2018 SOC,No
25-1190,Miscellaneous Postsecondary Teachers,None,Broad Occupation SOC Code,2018 SOC,No
25-2010,Preschool and Kindergarten Teachers,None,Broad Occupation SOC Code,2018 SOC,No
25-2020,Elementary and Middle School Teachers,None,Broad Occupation SOC Code,2018 SOC,No
25-2030,Secondary School Teachers,None,Broad Occupation SOC Code,2018 SOC,No
25-2050,Special Education Teachers,None,Broad Occupation SOC Code,2018 SOC,No
25-3010,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",None,Broad Occupation SOC Code,2018 SOC,No
25-3020,Self-Enrichment Teachers,None,Broad Occupation SOC Code,2018 SOC,No
25-3030,"Substitute Teachers, Short-Term",None,Broad Occupation SOC Code,2018 SOC,No
25-3040,Tutors,None,Broad Occupation SOC Code,2018 SOC,No
25-3090,Miscellaneous Teachers and Instructors,None,Broad Occupation SOC Code,2018 SOC,No
25-4010,"Archivists, Curators, and Museum Technicians",None,Broad Occupation SOC Code,2018 SOC,No
25-4020,Librarians and Media Collections Specialists,None,Broad Occupation SOC Code,2018 SOC,No
25-4030,Library Technicians,None,Broad Occupation SOC Code,2018 SOC,No
25-9020,Farm and Home Management Educators,None,Broad Occupation SOC Code,2018 SOC,No
25-9030,Instructional Coordinators,None,Broad Occupation SOC Code,2018 SOC,No
25-9040,Teaching Assistants,None,Broad Occupation SOC Code,2018 SOC,No
25-9090,Miscellaneous Educational Instruction and Library Workers,None,Broad Occupation SOC Code,2018 SOC,No
27-1010,Artists and Related Workers,None,Broad Occupation SOC Code,2018 SOC,No
27-1020,Designers,None,Broad Occupation SOC Code,2018 SOC,No
