code,fk_county,parent,concept_name,source,standard_semantic_hierarchy
027,"Yuma, AZ",None,County Numeric Code,2023 GNIS,No
001,"Apache, AZ",None,County Numeric Code,2023 GNIS,No
003,"Cochise, AZ",None,County Numeric Code,2023 GNIS,No
005,"Coconino, AZ",None,County Numeric Code,2023 GNIS,No
009,"Graham, AZ",None,County Numeric Code,2023 GNIS,No
015,"Mohave, AZ",None,County Numeric Code,2023 GNIS,No
019,"Pima, AZ",None,County Numeric Code,2023 GNIS,No
021,"Pinal, AZ",None,County Numeric Code,2023 GNIS,No
013,"Maricopa, AZ",None,County Numeric Code,2023 GNIS,No
007,"Gila, AZ",None,County Numeric Code,2023 GNIS,No
023,"Santa Cruz, AZ",None,County Numeric Code,2023 GNIS,No
011,"Greenlee, AZ",None,County Numeric Code,2023 GNIS,No
017,"Navajo, AZ",None,County Numeric Code,2023 GNIS,No
025,"Yavapai, AZ",None,County Numeric Code,2023 GNIS,No
012,"La Paz, AZ",None,County Numeric Code,2023 GNIS,No
001,"Arkansas, AR",None,County Numeric Code,2023 GNIS,No
003,"Ashley, AR",None,County Numeric Code,2023 GNIS,No
011,"Bradley, AR",None,County Numeric Code,2023 GNIS,No
013,"Calhoun, AR",None,County Numeric Code,2023 GNIS,No
021,"Clay, AR",None,County Numeric Code,2023 GNIS,No
025,"Cleveland, AR",None,County Numeric Code,2023 GNIS,No
027,"Columbia, AR",None,County Numeric Code,2023 GNIS,No
019,"Clark, AR",None,County Numeric Code,2023 GNIS,No
029,"Conway, AR",None,County Numeric Code,2023 GNIS,No
031,"Craighead, AR",None,County Numeric Code,2023 GNIS,No
037,"Cross, AR",None,County Numeric Code,2023 GNIS,No
039,"Dallas, AR",None,County Numeric Code,2023 GNIS,No
041,"Desha, AR",None,County Numeric Code,2023 GNIS,No
043,"Drew, AR",None,County Numeric Code,2023 GNIS,No
045,"Faulkner, AR",None,County Numeric Code,2023 GNIS,No
047,"Franklin, AR",None,County Numeric Code,2023 GNIS,No
049,"Fulton, AR",None,County Numeric Code,2023 GNIS,No
051,"Garland, AR",None,County Numeric Code,2023 GNIS,No
053,"Grant, AR",None,County Numeric Code,2023 GNIS,No
055,"Greene, AR",None,County Numeric Code,2023 GNIS,No
057,"Hempstead, AR",None,County Numeric Code,2023 GNIS,No
059,"Hot Spring, AR",None,County Numeric Code,2023 GNIS,No
065,"Izard, AR",None,County Numeric Code,2023 GNIS,No
067,"Jackson, AR",None,County Numeric Code,2023 GNIS,No
069,"Jefferson, AR",None,County Numeric Code,2023 GNIS,No
071,"Johnson, AR",None,County Numeric Code,2023 GNIS,No
073,"Lafayette, AR",None,County Numeric Code,2023 GNIS,No
075,"Lawrence, AR",None,County Numeric Code,2023 GNIS,No
077,"Lee, AR",None,County Numeric Code,2023 GNIS,No
061,"Howard, AR",None,County Numeric Code,2023 GNIS,No
079,"Lincoln, AR",None,County Numeric Code,2023 GNIS,No
081,"Little River, AR",None,County Numeric Code,2023 GNIS,No
015,"Carroll, AR",None,County Numeric Code,2023 GNIS,No
023,"Cleburne, AR",None,County Numeric Code,2023 GNIS,No
125,"Saline, AR",None,County Numeric Code,2023 GNIS,No
017,"Chicot, AR",None,County Numeric Code,2023 GNIS,No
033,"Crawford, AR",None,County Numeric Code,2023 GNIS,No
035,"Crittenden, AR",None,County Numeric Code,2023 GNIS,No
063,"Independence, AR",None,County Numeric Code,2023 GNIS,No
085,"Lonoke, AR",None,County Numeric Code,2023 GNIS,No
087,"Madison, AR",None,County Numeric Code,2023 GNIS,No
091,"Miller, AR",None,County Numeric Code,2023 GNIS,No
095,"Monroe, AR",None,County Numeric Code,2023 GNIS,No
097,"Montgomery, AR",None,County Numeric Code,2023 GNIS,No
099,"Nevada, AR",None,County Numeric Code,2023 GNIS,No
103,"Ouachita, AR",None,County Numeric Code,2023 GNIS,No
105,"Perry, AR",None,County Numeric Code,2023 GNIS,No
107,"Phillips, AR",None,County Numeric Code,2023 GNIS,No
109,"Pike, AR",None,County Numeric Code,2023 GNIS,No
111,"Poinsett, AR",None,County Numeric Code,2023 GNIS,No
113,"Polk, AR",None,County Numeric Code,2023 GNIS,No
117,"Prairie, AR",None,County Numeric Code,2023 GNIS,No
119,"Pulaski, AR",None,County Numeric Code,2023 GNIS,No
121,"Randolph, AR",None,County Numeric Code,2023 GNIS,No
127,"Scott, AR",None,County Numeric Code,2023 GNIS,No
129,"Searcy, AR",None,County Numeric Code,2023 GNIS,No
131,"Sebastian, AR",None,County Numeric Code,2023 GNIS,No
133,"Sevier, AR",None,County Numeric Code,2023 GNIS,No
135,"Sharp, AR",None,County Numeric Code,2023 GNIS,No
005,"Baxter, AR",None,County Numeric Code,2023 GNIS,No
007,"Benton, AR",None,County Numeric Code,2023 GNIS,No
009,"Boone, AR",None,County Numeric Code,2023 GNIS,No
089,"Marion, AR",None,County Numeric Code,2023 GNIS,No
093,"Mississippi, AR",None,County Numeric Code,2023 GNIS,No
101,"Newton, AR",None,County Numeric Code,2023 GNIS,No
115,"Pope, AR",None,County Numeric Code,2023 GNIS,No
137,"Stone, AR",None,County Numeric Code,2023 GNIS,No
139,"Union, AR",None,County Numeric Code,2023 GNIS,No
141,"Van Buren, AR",None,County Numeric Code,2023 GNIS,No
143,"Washington, AR",None,County Numeric Code,2023 GNIS,No
145,"White, AR",None,County Numeric Code,2023 GNIS,No
147,"Woodruff, AR",None,County Numeric Code,2023 GNIS,No
149,"Yell, AR",None,County Numeric Code,2023 GNIS,No
083,"Logan, AR",None,County Numeric Code,2023 GNIS,No
123,"St. Francis, AR",None,County Numeric Code,2023 GNIS,No
001,"Autauga, AL",None,County Numeric Code,2023 GNIS,No
003,"Baldwin, AL",None,County Numeric Code,2023 GNIS,No
005,"Barbour, AL",None,County Numeric Code,2023 GNIS,No
007,"Bibb, AL",None,County Numeric Code,2023 GNIS,No
009,"Blount, AL",None,County Numeric Code,2023 GNIS,No
011,"Bullock, AL",None,County Numeric Code,2023 GNIS,No
013,"Butler, AL",None,County Numeric Code,2023 GNIS,No
015,"Calhoun, AL",None,County Numeric Code,2023 GNIS,No
017,"Chambers, AL",None,County Numeric Code,2023 GNIS,No
019,"Cherokee, AL",None,County Numeric Code,2023 GNIS,No
021,"Chilton, AL",None,County Numeric Code,2023 GNIS,No
023,"Choctaw, AL",None,County Numeric Code,2023 GNIS,No
