code,fk_name,parent,concept_name,source,standard_semantic_hierarchy
23901,"Yuma, AZ",None,Feature ID,2023 GNIS,No
25441,"Apache, AZ",None,Feature ID,2023 GNIS,No
25442,"Cochise, AZ",None,Feature ID,2023 GNIS,No
25443,"Coconino, AZ",None,Feature ID,2023 GNIS,No
25444,"Graham, AZ",None,Feature ID,2023 GNIS,No
25445,"Mohave, AZ",None,Feature ID,2023 GNIS,No
25446,"Pima, AZ",None,Feature ID,2023 GNIS,No
25447,"Pinal, AZ",None,Feature ID,2023 GNIS,No
37026,"Maricopa, AZ",None,Feature ID,2023 GNIS,No
40471,"Gila, AZ",None,Feature ID,2023 GNIS,No
40472,"Santa Cruz, AZ",None,Feature ID,2023 GNIS,No
42807,"Greenlee, AZ",None,Feature ID,2023 GNIS,No
42808,"Navajo, AZ",None,Feature ID,2023 GNIS,No
42809,"Yavapai, AZ",None,Feature ID,2023 GNIS,No
43540,"La Paz, AZ",None,Feature ID,2023 GNIS,No
63755,"Arkansas, AR",None,Feature ID,2023 GNIS,No
63756,"Ashley, AR",None,Feature ID,2023 GNIS,No
63757,"Bradley, AR",None,Feature ID,2023 GNIS,No
63758,"Calhoun, AR",None,Feature ID,2023 GNIS,No
63759,"Clay, AR",None,Feature ID,2023 GNIS,No
63760,"Cleveland, AR",None,Feature ID,2023 GNIS,No
63761,"Columbia, AR",None,Feature ID,2023 GNIS,No
66845,"Clark, AR",None,Feature ID,2023 GNIS,No
66846,"Conway, AR",None,Feature ID,2023 GNIS,No
66847,"Craighead, AR",None,Feature ID,2023 GNIS,No
66848,"Cross, AR",None,Feature ID,2023 GNIS,No
66849,"Dallas, AR",None,Feature ID,2023 GNIS,No
66850,"Desha, AR",None,Feature ID,2023 GNIS,No
66851,"Drew, AR",None,Feature ID,2023 GNIS,No
66852,"Faulkner, AR",None,Feature ID,2023 GNIS,No
66853,"Franklin, AR",None,Feature ID,2023 GNIS,No
66854,"Fulton, AR",None,Feature ID,2023 GNIS,No
66855,"Garland, AR",None,Feature ID,2023 GNIS,No
66856,"Grant, AR",None,Feature ID,2023 GNIS,No
66857,"Greene, AR",None,Feature ID,2023 GNIS,No
66858,"Hempstead, AR",None,Feature ID,2023 GNIS,No
66859,"Hot Spring, AR",None,Feature ID,2023 GNIS,No
66860,"Izard, AR",None,Feature ID,2023 GNIS,No
66861,"Jackson, AR",None,Feature ID,2023 GNIS,No
66862,"Jefferson, AR",None,Feature ID,2023 GNIS,No
66863,"Johnson, AR",None,Feature ID,2023 GNIS,No
66864,"Lafayette, AR",None,Feature ID,2023 GNIS,No
66865,"Lawrence, AR",None,Feature ID,2023 GNIS,No
