code,fk_name,parent,concept_name,source,standard_semantic_hierarchy
Yuma County,"Yuma, AZ",None,Feature Name,2023 GNIS,No
Apache County,"Apache, AZ",None,Feature Name,2023 GNIS,No
Cochise County,"Cochise, AZ",None,Feature Name,2023 GNIS,No
Coconino County,"Coconino, AZ",None,Feature Name,2023 GNIS,No
Graham County,"Graham, AZ",None,Feature Name,2023 GNIS,No
Mohave County,"Mohave, AZ",None,Feature Name,2023 GNIS,No
Pima County,"Pima, AZ",None,Feature Name,2023 GNIS,No
Pinal County,"Pinal, AZ",None,Feature Name,2023 GNIS,No
Maricopa County,"Maricopa, AZ",None,Feature Name,2023 GNIS,No
Gila County,"Gila, AZ",None,Feature Name,2023 GNIS,No
Santa Cruz County,"Santa Cruz, AZ",None,Feature Name,2023 GNIS,No
Greenlee County,"Greenlee, AZ",None,Feature Name,2023 GNIS,No
Navajo County,"Navajo, AZ",None,Feature Name,2023 GNIS,No
Yavapai County,"Yavapai, AZ",None,Feature Name,2023 GNIS,No
La Paz County,"La Paz, AZ",None,Feature Name,2023 GNIS,No
Arkansas County,"Arkansas, AR",None,Feature Name,2023 GNIS,No
Ashley County,"Ashley, AR",None,Feature Name,2023 GNIS,No
Bradley County,"Bradley, AR",None,Feature Name,2023 GNIS,No
Calhoun County,"Calhoun, AR",None,Feature Name,2023 GNIS,No
Clay County,"Clay, AR",None,Feature Name,2023 GNIS,No
Cleveland County,"Cleveland, AR",None,Feature Name,2023 GNIS,No
Columbia County,"Columbia, AR",None,Feature Name,2023 GNIS,No
Clark County,"Clark, AR",None,Feature Name,2023 GNIS,No
Conway County,"Conway, AR",None,Feature Name,2023 GNIS,No
Craighead County,"Craighead, AR",None,Feature Name,2023 GNIS,No
Cross County,"Cross, AR",None,Feature Name,2023 GNIS,No
Dallas County,"Dallas, AR",None,Feature Name,2023 GNIS,No
Desha County,"Desha, AR",None,Feature Name,2023 GNIS,No
Drew County,"Drew, AR",None,Feature Name,2023 GNIS,No
Faulkner County,"Faulkner, AR",None,Feature Name,2023 GNIS,No
Franklin County,"Franklin, AR",None,Feature Name,2023 GNIS,No
Fulton County,"Fulton, AR",None,Feature Name,2023 GNIS,No
Garland County,"Garland, AR",None,Feature Name,2023 GNIS,No
Grant County,"Grant, AR",None,Feature Name,2023 GNIS,No
Greene County,"Greene, AR",None,Feature Name,2023 GNIS,No
Hempstead County,"Hempstead, AR",None,Feature Name,2023 GNIS,No
Hot Spring County,"Hot Spring, AR",None,Feature Name,2023 GNIS,No
Izard County,"Izard, AR",None,Feature Name,2023 GNIS,No
Jackson County,"Jackson, AR",None,Feature Name,2023 GNIS,No
Jefferson County,"Jefferson, AR",None,Feature Name,2023 GNIS,No
Johnson County,"Johnson, AR",None,Feature Name,2023 GNIS,No
Lafayette County,"Lafayette, AR",None,Feature Name,2023 GNIS,No
Lawrence County,"Lawrence, AR",None,Feature Name,2023 GNIS,No
Lee County,"Lee, AR",None,Feature Name,2023 GNIS,No
Howard County,"Howard, AR",None,Feature Name,2023 GNIS,No
Lincoln County,"Lincoln, AR",None,Feature Name,2023 GNIS,No
Little River County,"Little River, AR",None,Feature Name,2023 GNIS,No
