name,parent,concept_name,source,standard_semantic_hierarchy
Arizona,Mountain Division,State or Territory,2023 GNIS,Yes
Arkansas,West South Central Division,State or Territory,2023 GNIS,Yes
Alabama,East South Central Division,State or Territory,2023 GNIS,Yes
Colorado,Mountain Division,State or Territory,2023 GNIS,Yes
Delaware,South Atlantic Division,State or Territory,2023 GNIS,Yes
California,Pacific Division,State or Territory,2023 GNIS,Yes
Florida,South Atlantic Division,State or Territory,2023 GNIS,Yes
Georgia,South Atlantic Division,State or Territory,2023 GNIS,Yes
Hawaii,Pacific Division,State or Territory,2023 GNIS,Yes
Idaho,Mountain Division,State or Territory,2023 GNIS,Yes
Illinois,East North Central Division,State or Territory,2023 GNIS,Yes
Indiana,East North Central Division,State or Territory,2023 GNIS,Yes
Iowa,West North Central Division,State or Territory,2023 GNIS,Yes
Kansas,West North Central Division,State or Territory,2023 GNIS,Yes
Kentucky,East South Central Division,State or Territory,2023 GNIS,Yes
Louisiana,West South Central Division,State or Territory,2023 GNIS,Yes
Maine,New England Division,State or Territory,2023 GNIS,Yes
Maryland,South Atlantic Division,State or Territory,2023 GNIS,Yes
Massachusetts,New England Division,State or Territory,2023 GNIS,Yes
Minnesota,West North Central Division,State or Territory,2023 GNIS,Yes
Mississippi,East South Central Division,State or Territory,2023 GNIS,Yes
Missouri,West North Central Division,State or Territory,2023 GNIS,Yes
Montana,Mountain Division,State or Territory,2023 GNIS,Yes
Nebraska,West North Central Division,State or Territory,2023 GNIS,Yes
Nevada,Mountain Division,State or Territory,2023 GNIS,Yes
New Hampshire,New England Division,State or Territory,2023 GNIS,Yes
New Jersey,Middle Atlantic Division,State or Territory,2023 GNIS,Yes
New Mexico,Mountain Division,State or Territory,2023 GNIS,Yes
New York,Middle Atlantic Division,State or Territory,2023 GNIS,Yes
North Carolina,South Atlantic Division,State or Territory,2023 GNIS,Yes
North Dakota,West North Central Division,State or Territory,2023 GNIS,Yes
Ohio,East North Central Division,State or Territory,2023 GNIS,Yes
Oklahoma,West South Central Division,State or Territory,2023 GNIS,Yes
Oregon,Pacific Division,State or Territory,2023 GNIS,Yes
Pennsylvania,Middle Atlantic Division,State or Territory,2023 GNIS,Yes
Rhode Island,New England Division,State or Territory,2023 GNIS,Yes
South Carolina,South Atlantic Division,State or Territory,2023 GNIS,Yes
South Dakota,West North Central Division,State or Territory,2023 GNIS,Yes
Texas,West South Central Division,State or Territory,2023 GNIS,Yes
US Minor Outlying Islands,Island Areas,State or Territory,2023 GNIS,Yes
Alaska,Pacific Division,State or Territory,2023 GNIS,Yes
Utah,Mountain Division,State or Territory,2023 GNIS,Yes
Vermont,New England Division,State or Territory,2023 GNIS,Yes
Virginia,South Atlantic Division,State or Territory,2023 GNIS,Yes
Washington,Pacific Division,State or Territory,2023 GNIS,Yes
West Virginia,South Atlantic Division,State or Territory,2023 GNIS,Yes
Wisconsin,East North Central Division,State or Territory,2023 GNIS,Yes
Wyoming,Mountain Division,State or Territory,2023 GNIS,Yes
Michigan,East North Central Division,State or Territory,2023 GNIS,Yes
Tennessee,East South Central Division,State or Territory,2023 GNIS,Yes
District of Columbia,South Atlantic Division,State or Territory,2023 GNIS,Yes
Guam,Island Areas,State or Territory,2023 GNIS,Yes
Puerto Rico,Island Areas,State or Territory,2023 GNIS,Yes
American Samoa,Island Areas,State or Territory,2023 GNIS,Yes
Commonwealth of the Northern Mariana Islands,Island Areas,State or Territory,2023 GNIS,Yes
Alberta,N/A,State or Territory,2023 GNIS,Yes
British Columbia,N/A,State or Territory,2023 GNIS,Yes
Manitoba,N/A,State or Territory,2023 GNIS,Yes
New Brunswick,N/A,State or Territory,2023 GNIS,Yes
Newfoundland and Labrador,N/A,State or Territory,2023 GNIS,Yes
Northwest Territories,N/A,State or Territory,2023 GNIS,Yes
Nova Scotia,N/A,State or Territory,2023 GNIS,Yes
Ontario,N/A,State or Territory,2023 GNIS,Yes
Prince Edward Island,N/A,State or Territory,2023 GNIS,Yes
Saskatchewan,N/A,State or Territory,2023 GNIS,Yes
Nunavut,N/A,State or Territory,2023 GNIS,Yes
Baja California Norte,N/A,State or Territory,2023 GNIS,Yes
Sonora,N/A,State or Territory,2023 GNIS,Yes
Chihuahua,N/A,State or Territory,2023 GNIS,Yes
Coahuila de Zaragoza,N/A,State or Territory,2023 GNIS,Yes
Nuevo Leon,N/A,State or Territory,2023 GNIS,Yes
Tamaulipas,N/A,State or Territory,2023 GNIS,Yes
United States Virgin Islands,Island Areas,State or Territory,2023 GNIS,Yes
Quebec,N/A,State or Territory,2023 GNIS,Yes
Yukon,N/A,State or Territory,2023 GNIS,Yes
Connecticut,New England Division,State or Territory,2023 GNIS,Yes
