name,parent,concept_name,source,standard_semantic_hierarchy
"Yuma, AZ",Arizona,County,2023 GNIS,Yes
"Apache, AZ",Arizona,County,2023 GNIS,Yes
"Cochise, AZ",Arizona,County,2023 GNIS,Yes
"Coconino, AZ",Arizona,County,2023 GNIS,Yes
"Graham, AZ",Arizona,County,2023 GNIS,Yes
"Mohave, AZ",Arizona,County,2023 GNIS,Yes
"Pima, AZ",Arizona,County,2023 GNIS,Yes
"Pinal, AZ",Arizona,County,2023 GNIS,Yes
"Maricopa, AZ",Arizona,County,2023 GNIS,Yes
"Gila, AZ",Arizona,County,2023 GNIS,Yes
"Santa Cruz, AZ",Arizona,County,2023 GNIS,Yes
"Greenlee, AZ",Arizona,County,2023 GNIS,Yes
"Navajo, AZ",Arizona,County,2023 GNIS,Yes
"Yavapai, AZ",Arizona,County,2023 GNIS,Yes
"La Paz, AZ",Arizona,County,2023 GNIS,Yes
"Arkansas, AR",Arkansas,County,2023 GNIS,Yes
"Ashley, AR",Arkansas,County,2023 GNIS,Yes
"Bradley, AR",Arkansas,County,2023 GNIS,Yes
"Calhoun, AR",Arkansas,County,2023 GNIS,Yes
"Clay, AR",Arkansas,County,2023 GNIS,Yes
"Cleveland, AR",Arkansas,County,2023 GNIS,Yes
"Columbia, AR",Arkansas,County,2023 GNIS,Yes
"Clark, AR",Arkansas,County,2023 GNIS,Yes
"Conway, AR",Arkansas,County,2023 GNIS,Yes
"Craighead, AR",Arkansas,County,2023 GNIS,Yes
"Cross, AR",Arkansas,County,2023 GNIS,Yes
"Dallas, AR",Arkansas,County,2023 GNIS,Yes
"Desha, AR",Arkansas,County,2023 GNIS,Yes
"Drew, AR",Arkansas,County,2023 GNIS,Yes
"Faulkner, AR",Arkansas,County,2023 GNIS,Yes
"Franklin, AR",Arkansas,County,2023 GNIS,Yes
"Fulton, AR",Arkansas,County,2023 GNIS,Yes
"Garland, AR",Arkansas,County,2023 GNIS,Yes
"Grant, AR",Arkansas,County,2023 GNIS,Yes
"Greene, AR",Arkansas,County,2023 GNIS,Yes
"Hempstead, AR",Arkansas,County,2023 GNIS,Yes
"Hot Spring, AR",Arkansas,County,2023 GNIS,Yes
"Izard, AR",Arkansas,County,2023 GNIS,Yes
"Jackson, AR",Arkansas,County,2023 GNIS,Yes
"Jefferson, AR",Arkansas,County,2023 GNIS,Yes
"Johnson, AR",Arkansas,County,2023 GNIS,Yes
"Lafayette, AR",Arkansas,County,2023 GNIS,Yes
"Lawrence, AR",Arkansas,County,2023 GNIS,Yes
"Lee, AR",Arkansas,County,2023 GNIS,Yes
"Howard, AR",Arkansas,County,2023 GNIS,Yes
"Lincoln, AR",Arkansas,County,2023 GNIS,Yes
"Little River, AR",Arkansas,County,2023 GNIS,Yes
"Carroll, AR",Arkansas,County,2023 GNIS,Yes
"Cleburne, AR",Arkansas,County,2023 GNIS,Yes
"Saline, AR",Arkansas,County,2023 GNIS,Yes
"Chicot, AR",Arkansas,County,2023 GNIS,Yes
"Crawford, AR",Arkansas,County,2023 GNIS,Yes
"Crittenden, AR",Arkansas,County,2023 GNIS,Yes
"Independence, AR",Arkansas,County,2023 GNIS,Yes
"Lonoke, AR",Arkansas,County,2023 GNIS,Yes
"Madison, AR",Arkansas,County,2023 GNIS,Yes
"Miller, AR",Arkansas,County,2023 GNIS,Yes
"Monroe, AR",Arkansas,County,2023 GNIS,Yes
"Montgomery, AR",Arkansas,County,2023 GNIS,Yes
"Nevada, AR",Arkansas,County,2023 GNIS,Yes
"Ouachita, AR",Arkansas,County,2023 GNIS,Yes
"Perry, AR",Arkansas,County,2023 GNIS,Yes
"Phillips, AR",Arkansas,County,2023 GNIS,Yes
"Pike, AR",Arkansas,County,2023 GNIS,Yes
"Poinsett, AR",Arkansas,County,2023 GNIS,Yes
"Polk, AR",Arkansas,County,2023 GNIS,Yes
"Prairie, AR",Arkansas,County,2023 GNIS,Yes
"Pulaski, AR",Arkansas,County,2023 GNIS,Yes
"Randolph, AR",Arkansas,County,2023 GNIS,Yes
"Scott, AR",Arkansas,County,2023 GNIS,Yes
"Searcy, AR",Arkansas,County,2023 GNIS,Yes
"Sebastian, AR",Arkansas,County,2023 GNIS,Yes
"Sevier, AR",Arkansas,County,2023 GNIS,Yes
"Sharp, AR",Arkansas,County,2023 GNIS,Yes
"Baxter, AR",Arkansas,County,2023 GNIS,Yes
"Benton, AR",Arkansas,County,2023 GNIS,Yes
"Boone, AR",Arkansas,County,2023 GNIS,Yes
"Marion, AR",Arkansas,County,2023 GNIS,Yes
"Mississippi, AR",Arkansas,County,2023 GNIS,Yes
"Newton, AR",Arkansas,County,2023 GNIS,Yes
"Pope, AR",Arkansas,County,2023 GNIS,Yes
"Stone, AR",Arkansas,County,2023 GNIS,Yes
"Union, AR",Arkansas,County,2023 GNIS,Yes
"Van Buren, AR",Arkansas,County,2023 GNIS,Yes
"Washington, AR",Arkansas,County,2023 GNIS,Yes
"White, AR",Arkansas,County,2023 GNIS,Yes
"Woodruff, AR",Arkansas,County,2023 GNIS,Yes
"Yell, AR",Arkansas,County,2023 GNIS,Yes
"Logan, AR",Arkansas,County,2023 GNIS,Yes
"St. Francis, AR",Arkansas,County,2023 GNIS,Yes
