Title_ind_group,Title_subsector
Oilseed and Grain Farming,Crop Production
Vegetable and Melon Farming,Crop Production
Fruit and Tree Nut Farming,Crop Production
"Greenhouse, Nursery, and Floriculture Production",Crop Production
Other Crop Farming,Crop Production
Cattle Ranching and Farming,Animal Production and Aquaculture
Hog and Pig Farming,Animal Production and Aquaculture
Poultry and Egg Production,Animal Production and Aquaculture
Sheep and Goat Farming,Animal Production and Aquaculture
Aquaculture,Animal Production and Aquaculture
Other Animal Production,Animal Production and Aquaculture
Timber Tract Operations,Forestry and Logging
Forest Nurseries and Gathering of Forest Products,Forestry and Logging
Logging,Forestry and Logging
Fishing,"Fishing, Hunting and Trapping"
Hunting and Trapping,"Fishing, Hunting and Trapping"
Support Activities for Crop Production,Support Activities for Agriculture and Forestry
Support Activities for Animal Production,Support Activities for Agriculture and Forestry
Support Activities for Forestry,Support Activities for Agriculture and Forestry
Oil and Gas Extraction,Oil and Gas Extraction
Coal Mining,Mining (except Oil and Gas)
Metal Ore Mining,Mining (except Oil and Gas)
Nonmetallic Mineral Mining and Quarrying,Mining (except Oil and Gas)
Support Activities for Mining,Support Activities for Mining
"Electric Power Generation, Transmission and Distribution",Utilities 
Natural Gas Distribution ,Utilities 
"Water, Sewage and Other Systems ",Utilities 
Residential Building Construction,Construction of Buildings
Nonresidential Building Construction,Construction of Buildings
Utility System Construction,Heavy and Civil Engineering Construction
Land Subdivision,Heavy and Civil Engineering Construction
"Highway, Street, and Bridge Construction",Heavy and Civil Engineering Construction
Other Heavy and Civil Engineering Construction,Heavy and Civil Engineering Construction
"Foundation, Structure, and Building Exterior Contractors",Specialty Trade Contractors
Building Equipment Contractors,Specialty Trade Contractors
Building Finishing Contractors,Specialty Trade Contractors
Other Specialty Trade Contractors,Specialty Trade Contractors
Animal Food Manufacturing,Food Manufacturing
Grain and Oilseed Milling,Food Manufacturing
Sugar and Confectionery Product Manufacturing,Food Manufacturing
Fruit and Vegetable Preserving and Specialty Food Manufacturing,Food Manufacturing
Dairy Product Manufacturing,Food Manufacturing
Animal Slaughtering and Processing,Food Manufacturing
Seafood Product Preparation and Packaging,Food Manufacturing
Bakeries and Tortilla Manufacturing,Food Manufacturing
Other Food Manufacturing,Food Manufacturing
Beverage Manufacturing,Beverage and Tobacco Product Manufacturing
Tobacco Manufacturing,Beverage and Tobacco Product Manufacturing
"Fiber, Yarn, and Thread Mills",Textile Mills
Fabric Mills,Textile Mills
Textile and Fabric Finishing and Fabric Coating Mills,Textile Mills
Textile Furnishings Mills,Textile Product Mills
Other Textile Product Mills,Textile Product Mills
Apparel Knitting Mills,Apparel Manufacturing
Cut and Sew Apparel Manufacturing,Apparel Manufacturing
Apparel Accessories and Other Apparel Manufacturing,Apparel Manufacturing
Leather and Hide Tanning and Finishing,Leather and Allied Product Manufacturing
Footwear Manufacturing,Leather and Allied Product Manufacturing
Other Leather and Allied Product Manufacturing,Leather and Allied Product Manufacturing
Sawmills and Wood Preservation,Wood Product Manufacturing
"Veneer, Plywood, and Engineered Wood Product Manufacturing",Wood Product Manufacturing
Other Wood Product Manufacturing,Wood Product Manufacturing
"Pulp, Paper, and Paperboard Mills",Paper Manufacturing
Converted Paper Product Manufacturing,Paper Manufacturing
Printing and Related Support Activities,Printing and Related Support Activities
Petroleum and Coal Products Manufacturing,Petroleum and Coal Products Manufacturing
Basic Chemical Manufacturing,Chemical Manufacturing
"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",Chemical Manufacturing
"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Chemical Manufacturing
Pharmaceutical and Medicine Manufacturing,Chemical Manufacturing
"Paint, Coating, and Adhesive Manufacturing",Chemical Manufacturing
"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",Chemical Manufacturing
Other Chemical Product and Preparation Manufacturing,Chemical Manufacturing
Plastics Product Manufacturing,Plastics and Rubber Products Manufacturing
Rubber Product Manufacturing,Plastics and Rubber Products Manufacturing
Clay Product and Refractory Manufacturing,Nonmetallic Mineral Product Manufacturing
Glass and Glass Product Manufacturing,Nonmetallic Mineral Product Manufacturing
Cement and Concrete Product Manufacturing,Nonmetallic Mineral Product Manufacturing
