fk_index_item_description,code,parent,concept_name,source,standard_semantic_hierarchy
"Soybean farming, field and seed production",111110,None,NAICS Index Item Description Code,2022 NAICS,No
"Canola farming, field and seed production",111120,None,NAICS Index Item Description Code,2022 NAICS,No
"Flaxseed farming, field and seed production",111120,None,NAICS Index Item Description Code,2022 NAICS,No
"Mustard seed farming, field and seed production",111120,None,NAICS Index Item Description Code,2022 NAICS,No
"Oilseed farming (except soybean), field and seed production",111120,None,NAICS Index Item Description Code,2022 NAICS,No
"Rapeseed farming, field and seed production",111120,None,NAICS Index Item Description Code,2022 NAICS,No
"Safflower farming, field and seed production",111120,None,NAICS Index Item Description Code,2022 NAICS,No
"Sesame farming, field and seed production",111120,None,NAICS Index Item Description Code,2022 NAICS,No
"Sunflower farming, field and seed production",111120,None,NAICS Index Item Description Code,2022 NAICS,No
"Bean farming, dry, field and seed production",111130,None,NAICS Index Item Description Code,2022 NAICS,No
"Cowpea farming, dry, field and seed production",111130,None,NAICS Index Item Description Code,2022 NAICS,No
"Garbanzo farming, dry, field and seed production",111130,None,NAICS Index Item Description Code,2022 NAICS,No
"Lentil farming, dry, field and seed production",111130,None,NAICS Index Item Description Code,2022 NAICS,No
"Lima bean farming, dry, field and seed production",111130,None,NAICS Index Item Description Code,2022 NAICS,No
"Pea farming, dry, field and seed production",111130,None,NAICS Index Item Description Code,2022 NAICS,No
"Wheat farming, field and seed production",111140,None,NAICS Index Item Description Code,2022 NAICS,No
"Corn farming (except sweet corn), field and seed production",111150,None,NAICS Index Item Description Code,2022 NAICS,No
"Popcorn farming, field and seed production",111150,None,NAICS Index Item Description Code,2022 NAICS,No
"Rice (except wild rice) farming, field and seed production",111160,None,NAICS Index Item Description Code,2022 NAICS,No
"Oilseed and grain combination farming, field and seed production",111191,None,NAICS Index Item Description Code,2022 NAICS,No
"Barley farming, field and seed production",111199,None,NAICS Index Item Description Code,2022 NAICS,No
Broomcorn farming,111199,None,NAICS Index Item Description Code,2022 NAICS,No
Buckwheat farming,111199,None,NAICS Index Item Description Code,2022 NAICS,No
"Milo farming, field and seed production",111199,None,NAICS Index Item Description Code,2022 NAICS,No
"Oat farming, field and seed production",111199,None,NAICS Index Item Description Code,2022 NAICS,No
"Rye farming, field and seed production",111199,None,NAICS Index Item Description Code,2022 NAICS,No
"Sorghum farming, field and seed production",111199,None,NAICS Index Item Description Code,2022 NAICS,No
"Wild rice farming, field and seed production",111199,None,NAICS Index Item Description Code,2022 NAICS,No
"Potato farming, field and seed potato production",111211,None,NAICS Index Item Description Code,2022 NAICS,No
"Sweet potato farming, field and seed potato production",111211,None,NAICS Index Item Description Code,2022 NAICS,No
"Vegetable and melon farming, potato dominant crop, field and seed production",111211,None,NAICS Index Item Description Code,2022 NAICS,No
"Vegetable and potato farming, potato dominant crop, field and seed potato production",111211,None,NAICS Index Item Description Code,2022 NAICS,No
"Yam farming, field and seed production",111211,None,NAICS Index Item Description Code,2022 NAICS,No
"Acorn squash farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Artichoke farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Asparagus farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Bean (except dry) farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Beet farming (except sugar beets), field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Broccoli farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Brussel sprout farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Butternut squash farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Cabbage farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Cantaloupe farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Carrot farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Casaba melon farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Cassava farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Cauliflower farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Celery farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Chinese pea farming, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Chive farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Collard farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Cowpea (except dry) farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Crenshaw melon farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Cucumber farming (except under cover), field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Dill farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Eggplant farming (except under cover), field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Endive farming (except under cover), field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"English pea farming (except under cover), field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Escarole farming (except under cover), field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Garlic farming (except under cover), field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Gingerroot farming (except under cover), field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Ginseng farming (except under cover), field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Green bean farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Green cowpea farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Green lima bean farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Green pea farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Honeydew melon farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Kale farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Leek farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Lettuce farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Melon farming (e.g., cantaloupe, casaba, honeydew, watermelon), field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Muskmelon farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Okra farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Onion farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Parsley farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Parsnip farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Pea (except dry) farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Pepper (e.g., bell, chili, green, hot, red, sweet) farming",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Pumpkin farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Radish farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Rhubarb farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Romaine lettuce farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Rutabaga farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Shallot farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Snap bean farming (i.e., bush and pole), field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Snow pea farming, field and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Spaghetti squash farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Spinach farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
"Squash farming, field, bedding plant and seed production",111219,None,NAICS Index Item Description Code,2022 NAICS,No
