fk_subsector,code,concept_name,source,standard_semantic_hierarchy
Crop Production,111,NAICS Subsector Code,2022 NAICS,No
Animal Production and Aquaculture,112,NAICS Subsector Code,2022 NAICS,No
Forestry and Logging,113,NAICS Subsector Code,2022 NAICS,No
"Fishing, Hunting and Trapping",114,NAICS Subsector Code,2022 NAICS,No
Support Activities for Agriculture and Forestry,115,NAICS Subsector Code,2022 NAICS,No
Oil and Gas Extraction,211,NAICS Subsector Code,2022 NAICS,No
Mining (except Oil and Gas),212,NAICS Subsector Code,2022 NAICS,No
Support Activities for Mining,213,NAICS Subsector Code,2022 NAICS,No
Utilities ,221,NAICS Subsector Code,2022 NAICS,No
Construction of Buildings,236,NAICS Subsector Code,2022 NAICS,No
Heavy and Civil Engineering Construction,237,NAICS Subsector Code,2022 NAICS,No
Specialty Trade Contractors,238,NAICS Subsector Code,2022 NAICS,No
Food Manufacturing,311,NAICS Subsector Code,2022 NAICS,No
Beverage and Tobacco Product Manufacturing,312,NAICS Subsector Code,2022 NAICS,No
Textile Mills,313,NAICS Subsector Code,2022 NAICS,No
Textile Product Mills,314,NAICS Subsector Code,2022 NAICS,No
Apparel Manufacturing,315,NAICS Subsector Code,2022 NAICS,No
Leather and Allied Product Manufacturing,316,NAICS Subsector Code,2022 NAICS,No
Wood Product Manufacturing,321,NAICS Subsector Code,2022 NAICS,No
Paper Manufacturing,322,NAICS Subsector Code,2022 NAICS,No
Printing and Related Support Activities,323,NAICS Subsector Code,2022 NAICS,No
Petroleum and Coal Products Manufacturing,324,NAICS Subsector Code,2022 NAICS,No
Chemical Manufacturing,325,NAICS Subsector Code,2022 NAICS,No
Plastics and Rubber Products Manufacturing,326,NAICS Subsector Code,2022 NAICS,No
Nonmetallic Mineral Product Manufacturing,327,NAICS Subsector Code,2022 NAICS,No
Primary Metal Manufacturing,331,NAICS Subsector Code,2022 NAICS,No
Fabricated Metal Product Manufacturing,332,NAICS Subsector Code,2022 NAICS,No
Machinery Manufacturing,333,NAICS Subsector Code,2022 NAICS,No
Computer and Electronic Product Manufacturing,334,NAICS Subsector Code,2022 NAICS,No
"Electrical Equipment, Appliance, and Component Manufacturing",335,NAICS Subsector Code,2022 NAICS,No
Transportation Equipment Manufacturing,336,NAICS Subsector Code,2022 NAICS,No
Furniture and Related Product Manufacturing,337,NAICS Subsector Code,2022 NAICS,No
Miscellaneous Manufacturing,339,NAICS Subsector Code,2022 NAICS,No
"Merchant Wholesalers, Durable Goods ",423,NAICS Subsector Code,2022 NAICS,No
"Merchant Wholesalers, Nondurable Goods ",424,NAICS Subsector Code,2022 NAICS,No
Wholesale Trade Agents and Brokers ,425,NAICS Subsector Code,2022 NAICS,No
Motor Vehicle and Parts Dealers ,441,NAICS Subsector Code,2022 NAICS,No
Building Material and Garden Equipment and Supplies Dealers ,444,NAICS Subsector Code,2022 NAICS,No
Food and Beverage Retailers ,445,NAICS Subsector Code,2022 NAICS,No
"Furniture, Home Furnishings, Electronics, and Appliance Retailers ",449,NAICS Subsector Code,2022 NAICS,No
General Merchandise Retailers ,455,NAICS Subsector Code,2022 NAICS,No
Health and Personal Care Retailers ,456,NAICS Subsector Code,2022 NAICS,No
Gasoline Stations and Fuel Dealers ,457,NAICS Subsector Code,2022 NAICS,No
"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers ",458,NAICS Subsector Code,2022 NAICS,No
"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers ",459,NAICS Subsector Code,2022 NAICS,No
Air Transportation,481,NAICS Subsector Code,2022 NAICS,No
Rail Transportation,482,NAICS Subsector Code,2022 NAICS,No
Water Transportation,483,NAICS Subsector Code,2022 NAICS,No
Truck Transportation,484,NAICS Subsector Code,2022 NAICS,No
Transit and Ground Passenger Transportation,485,NAICS Subsector Code,2022 NAICS,No
Pipeline Transportation,486,NAICS Subsector Code,2022 NAICS,No
Scenic and Sightseeing Transportation,487,NAICS Subsector Code,2022 NAICS,No
Support Activities for Transportation,488,NAICS Subsector Code,2022 NAICS,No
Postal Service,491,NAICS Subsector Code,2022 NAICS,No
Couriers and Messengers,492,NAICS Subsector Code,2022 NAICS,No
Warehousing and Storage,493,NAICS Subsector Code,2022 NAICS,No
