name,parent,concept_name,source,standard_semantic_hierarchy
Crop Production,"Agriculture, Forestry, Fishing and Hunting",Subsector,2022 NAICS,Yes
Animal Production and Aquaculture,"Agriculture, Forestry, Fishing and Hunting",Subsector,2022 NAICS,Yes
Forestry and Logging,"Agriculture, Forestry, Fishing and Hunting",Subsector,2022 NAICS,Yes
"Fishing, Hunting and Trapping","Agriculture, Forestry, Fishing and Hunting",Subsector,2022 NAICS,Yes
Support Activities for Agriculture and Forestry,"Agriculture, Forestry, Fishing and Hunting",Subsector,2022 NAICS,Yes
Oil and Gas Extraction,"Mining, Quarrying, and Oil and Gas Extraction",Subsector,2022 NAICS,Yes
Mining (except Oil and Gas),"Mining, Quarrying, and Oil and Gas Extraction",Subsector,2022 NAICS,Yes
Support Activities for Mining,"Mining, Quarrying, and Oil and Gas Extraction",Subsector,2022 NAICS,Yes
Utilities ,Utilities,Subsector,2022 NAICS,Yes
Construction of Buildings,Construction,Subsector,2022 NAICS,Yes
Heavy and Civil Engineering Construction,Construction,Subsector,2022 NAICS,Yes
Specialty Trade Contractors,Construction,Subsector,2022 NAICS,Yes
Food Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Beverage and Tobacco Product Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Textile Mills,Manufacturing,Subsector,2022 NAICS,Yes
Textile Product Mills,Manufacturing,Subsector,2022 NAICS,Yes
Apparel Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Leather and Allied Product Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Wood Product Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Paper Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Printing and Related Support Activities,Manufacturing,Subsector,2022 NAICS,Yes
Petroleum and Coal Products Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Chemical Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Plastics and Rubber Products Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Nonmetallic Mineral Product Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Primary Metal Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Fabricated Metal Product Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Machinery Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Computer and Electronic Product Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
"Electrical Equipment, Appliance, and Component Manufacturing",Manufacturing,Subsector,2022 NAICS,Yes
Transportation Equipment Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
Furniture and Related Product Manufacturing,Manufacturing,Subsector,2022 NAICS,Yes
