name,parent,concept_name,source,standard_semantic_hierarchy
Top Executives,Management Occupations,Minor Group,2018 SOC,Yes
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Management Occupations,Minor Group,2018 SOC,Yes
Operations Specialties Managers,Management Occupations,Minor Group,2018 SOC,Yes
Other Management Occupations,Management Occupations,Minor Group,2018 SOC,Yes
Business Operations Specialists,Business and Financial Operations Occupations,Minor Group,2018 SOC,Yes
Financial Specialists,Business and Financial Operations Occupations,Minor Group,2018 SOC,Yes
Computer Occupations,Computer and Mathematical Occupations,Minor Group,2018 SOC,Yes
Mathematical Science Occupations,Computer and Mathematical Occupations,Minor Group,2018 SOC,Yes
"Architects, Surveyors, and Cartographers",Architecture and Engineering Occupations,Minor Group,2018 SOC,Yes
Engineers,Architecture and Engineering Occupations,Minor Group,2018 SOC,Yes
"Drafters, Engineering Technicians, and Mapping Technicians",Architecture and Engineering Occupations,Minor Group,2018 SOC,Yes
Life Scientists,"Life, Physical, and Social Science Occupations",Minor Group,2018 SOC,Yes
Physical Scientists,"Life, Physical, and Social Science Occupations",Minor Group,2018 SOC,Yes
Social Scientists and Related Workers,"Life, Physical, and Social Science Occupations",Minor Group,2018 SOC,Yes
"Life, Physical, and Social Science Technicians","Life, Physical, and Social Science Occupations",Minor Group,2018 SOC,Yes
Occupational Health and Safety Specialists and Technicians,"Life, Physical, and Social Science Occupations",Minor Group,2018 SOC,Yes
"Counselors, Social Workers, and Other Community and Social Service Specialists",Community and Social Service Occupations,Minor Group,2018 SOC,Yes
Religious Workers,Community and Social Service Occupations,Minor Group,2018 SOC,Yes
"Lawyers, Judges, and Related Workers",Legal Occupations,Minor Group,2018 SOC,Yes
Legal Support Workers,Legal Occupations,Minor Group,2018 SOC,Yes
Postsecondary Teachers,Educational Instruction and Library Occupations,Minor Group,2018 SOC,Yes
"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Educational Instruction and Library Occupations,Minor Group,2018 SOC,Yes
Other Teachers and Instructors,Educational Instruction and Library Occupations,Minor Group,2018 SOC,Yes
"Librarians, Curators, and Archivists",Educational Instruction and Library Occupations,Minor Group,2018 SOC,Yes
Other Educational Instruction and Library Occupations,Educational Instruction and Library Occupations,Minor Group,2018 SOC,Yes
Art and Design Workers,"Arts, Design, Entertainment, Sports, and Media Occupations",Minor Group,2018 SOC,Yes
"Entertainers and Performers, Sports and Related Workers","Arts, Design, Entertainment, Sports, and Media Occupations",Minor Group,2018 SOC,Yes
Media and Communication Workers,"Arts, Design, Entertainment, Sports, and Media Occupations",Minor Group,2018 SOC,Yes
Media and Communication Equipment Workers,"Arts, Design, Entertainment, Sports, and Media Occupations",Minor Group,2018 SOC,Yes
Healthcare Diagnosing or Treating Practitioners,Healthcare Practitioners and Technical Occupations,Minor Group,2018 SOC,Yes
Health Technologists and Technicians,Healthcare Practitioners and Technical Occupations,Minor Group,2018 SOC,Yes
Other Healthcare Practitioners and Technical Occupations,Healthcare Practitioners and Technical Occupations,Minor Group,2018 SOC,Yes
"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",Healthcare Support Occupations,Minor Group,2018 SOC,Yes
Occupational Therapy and Physical Therapist Assistants and Aides,Healthcare Support Occupations,Minor Group,2018 SOC,Yes
Other Healthcare Support Occupations,Healthcare Support Occupations,Minor Group,2018 SOC,Yes
Supervisors of Protective Service Workers,Protective Service Occupations,Minor Group,2018 SOC,Yes
Firefighting and Prevention Workers,Protective Service Occupations,Minor Group,2018 SOC,Yes
Law Enforcement Workers,Protective Service Occupations,Minor Group,2018 SOC,Yes
Other Protective Service Workers,Protective Service Occupations,Minor Group,2018 SOC,Yes
Supervisors of Food Preparation and Serving Workers,Food Preparation and Serving Related Occupations,Minor Group,2018 SOC,Yes
Cooks and Food Preparation Workers,Food Preparation and Serving Related Occupations,Minor Group,2018 SOC,Yes
Food and Beverage Serving Workers,Food Preparation and Serving Related Occupations,Minor Group,2018 SOC,Yes
Other Food Preparation and Serving Related Workers,Food Preparation and Serving Related Occupations,Minor Group,2018 SOC,Yes
Supervisors of Building and Grounds Cleaning and Maintenance Workers,Building and Grounds Cleaning and Maintenance Occupations,Minor Group,2018 SOC,Yes
Building Cleaning and Pest Control Workers,Building and Grounds Cleaning and Maintenance Occupations,Minor Group,2018 SOC,Yes
Grounds Maintenance Workers,Building and Grounds Cleaning and Maintenance Occupations,Minor Group,2018 SOC,Yes
Supervisors of Personal Care and Service Workers,Personal Care and Service Occupations,Minor Group,2018 SOC,Yes
Animal Care and Service Workers,Personal Care and Service Occupations,Minor Group,2018 SOC,Yes
Entertainment Attendants and Related Workers,Personal Care and Service Occupations,Minor Group,2018 SOC,Yes
Funeral Service Workers,Personal Care and Service Occupations,Minor Group,2018 SOC,Yes
Personal Appearance Workers,Personal Care and Service Occupations,Minor Group,2018 SOC,Yes
"Baggage Porters, Bellhops, and Concierges",Personal Care and Service Occupations,Minor Group,2018 SOC,Yes
Tour and Travel Guides,Personal Care and Service Occupations,Minor Group,2018 SOC,Yes
Other Personal Care and Service Workers,Personal Care and Service Occupations,Minor Group,2018 SOC,Yes
Supervisors of Sales Workers,Sales and Related Occupations,Minor Group,2018 SOC,Yes
Retail Sales Workers,Sales and Related Occupations,Minor Group,2018 SOC,Yes
"Sales Representatives, Services",Sales and Related Occupations,Minor Group,2018 SOC,Yes
"Sales Representatives, Wholesale and Manufacturing",Sales and Related Occupations,Minor Group,2018 SOC,Yes
Other Sales and Related Workers,Sales and Related Occupations,Minor Group,2018 SOC,Yes
Supervisors of Office and Administrative Support Workers,Office and Administrative Support Occupations,Minor Group,2018 SOC,Yes
Communications Equipment Operators,Office and Administrative Support Occupations,Minor Group,2018 SOC,Yes
Financial Clerks,Office and Administrative Support Occupations,Minor Group,2018 SOC,Yes
Information and Record Clerks,Office and Administrative Support Occupations,Minor Group,2018 SOC,Yes
"Material Recording, Scheduling, Dispatching, and Distributing Workers",Office and Administrative Support Occupations,Minor Group,2018 SOC,Yes
Secretaries and Administrative Assistants,Office and Administrative Support Occupations,Minor Group,2018 SOC,Yes
Other Office and Administrative Support Workers,Office and Administrative Support Occupations,Minor Group,2018 SOC,Yes
"Supervisors of Farming, Fishing, and Forestry Workers","Farming, Fishing, and Forestry Occupations",Minor Group,2018 SOC,Yes
Agricultural Workers,"Farming, Fishing, and Forestry Occupations",Minor Group,2018 SOC,Yes
Fishing and Hunting Workers,"Farming, Fishing, and Forestry Occupations",Minor Group,2018 SOC,Yes
"Forest, Conservation, and Logging Workers","Farming, Fishing, and Forestry Occupations",Minor Group,2018 SOC,Yes
Supervisors of Construction and Extraction Workers,Construction and Extraction Occupations,Minor Group,2018 SOC,Yes
Construction Trades Workers,Construction and Extraction Occupations,Minor Group,2018 SOC,Yes
"Helpers, Construction Trades",Construction and Extraction Occupations,Minor Group,2018 SOC,Yes
Other Construction and Related Workers,Construction and Extraction Occupations,Minor Group,2018 SOC,Yes
Extraction Workers,Construction and Extraction Occupations,Minor Group,2018 SOC,Yes
"Supervisors of Installation, Maintenance, and Repair Workers","Installation, Maintenance, and Repair Occupations",Minor Group,2018 SOC,Yes
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair Occupations",Minor Group,2018 SOC,Yes
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Installation, Maintenance, and Repair Occupations",Minor Group,2018 SOC,Yes
