code,fk_name,parent,concept_name,source,standard_semantic_hierarchy
11-1000,Top Executives,None,Minor Group SOC Code,2018 SOC,No
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",None,Minor Group SOC Code,2018 SOC,No
11-3000,Operations Specialties Managers,None,Minor Group SOC Code,2018 SOC,No
11-9000,Other Management Occupations,None,Minor Group SOC Code,2018 SOC,No
13-1000,Business Operations Specialists,None,Minor Group SOC Code,2018 SOC,No
13-2000,Financial Specialists,None,Minor Group SOC Code,2018 SOC,No
15-1200,Computer Occupations,None,Minor Group SOC Code,2018 SOC,No
15-2000,Mathematical Science Occupations,None,Minor Group SOC Code,2018 SOC,No
17-1000,"Architects, Surveyors, and Cartographers",None,Minor Group SOC Code,2018 SOC,No
17-2000,Engineers,None,Minor Group SOC Code,2018 SOC,No
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",None,Minor Group SOC Code,2018 SOC,No
19-1000,Life Scientists,None,Minor Group SOC Code,2018 SOC,No
19-2000,Physical Scientists,None,Minor Group SOC Code,2018 SOC,No
19-3000,Social Scientists and Related Workers,None,Minor Group SOC Code,2018 SOC,No
19-4000,"Life, Physical, and Social Science Technicians",None,Minor Group SOC Code,2018 SOC,No
19-5000,Occupational Health and Safety Specialists and Technicians,None,Minor Group SOC Code,2018 SOC,No
21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",None,Minor Group SOC Code,2018 SOC,No
21-2000,Religious Workers,None,Minor Group SOC Code,2018 SOC,No
23-1000,"Lawyers, Judges, and Related Workers",None,Minor Group SOC Code,2018 SOC,No
23-2000,Legal Support Workers,None,Minor Group SOC Code,2018 SOC,No
25-1000,Postsecondary Teachers,None,Minor Group SOC Code,2018 SOC,No
25-2000,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",None,Minor Group SOC Code,2018 SOC,No
25-3000,Other Teachers and Instructors,None,Minor Group SOC Code,2018 SOC,No
25-4000,"Librarians, Curators, and Archivists",None,Minor Group SOC Code,2018 SOC,No
25-9000,Other Educational Instruction and Library Occupations,None,Minor Group SOC Code,2018 SOC,No
27-1000,Art and Design Workers,None,Minor Group SOC Code,2018 SOC,No
27-2000,"Entertainers and Performers, Sports and Related Workers",None,Minor Group SOC Code,2018 SOC,No
27-3000,Media and Communication Workers,None,Minor Group SOC Code,2018 SOC,No
27-4000,Media and Communication Equipment Workers,None,Minor Group SOC Code,2018 SOC,No
29-1000,Healthcare Diagnosing or Treating Practitioners,None,Minor Group SOC Code,2018 SOC,No
29-2000,Health Technologists and Technicians,None,Minor Group SOC Code,2018 SOC,No
29-9000,Other Healthcare Practitioners and Technical Occupations,None,Minor Group SOC Code,2018 SOC,No
31-1100,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",None,Minor Group SOC Code,2018 SOC,No
