name,parent,concept_name,source,standard_semantic_hierarchy
Chief Executives,Chief Executives,Detailed Occupation,2018 SOC,Yes
General and Operations Managers,General and Operations Managers,Detailed Occupation,2018 SOC,Yes
Legislators,Legislators,Detailed Occupation,2018 SOC,Yes
Advertising and Promotions Managers,Advertising and Promotions Managers,Detailed Occupation,2018 SOC,Yes
Marketing Managers,Marketing and Sales Managers,Detailed Occupation,2018 SOC,Yes
Sales Managers,Marketing and Sales Managers,Detailed Occupation,2018 SOC,Yes
Public Relations Managers,Public Relations and Fundraising Managers,Detailed Occupation,2018 SOC,Yes
Fundraising Managers,Public Relations and Fundraising Managers,Detailed Occupation,2018 SOC,Yes
Administrative Services Managers,Administrative Services and Facilities Managers,Detailed Occupation,2018 SOC,Yes
Facilities Managers,Administrative Services and Facilities Managers,Detailed Occupation,2018 SOC,Yes
Computer and Information Systems Managers,Computer and Information Systems Managers,Detailed Occupation,2018 SOC,Yes
Financial Managers,Financial Managers,Detailed Occupation,2018 SOC,Yes
Industrial Production Managers,Industrial Production Managers,Detailed Occupation,2018 SOC,Yes
Purchasing Managers,Purchasing Managers,Detailed Occupation,2018 SOC,Yes
"Transportation, Storage, and Distribution Managers","Transportation, Storage, and Distribution Managers",Detailed Occupation,2018 SOC,Yes
Compensation and Benefits Managers,Compensation and Benefits Managers,Detailed Occupation,2018 SOC,Yes
Human Resources Managers,Human Resources Managers,Detailed Occupation,2018 SOC,Yes
Training and Development Managers,Training and Development Managers,Detailed Occupation,2018 SOC,Yes
"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers",Detailed Occupation,2018 SOC,Yes
Construction Managers,Construction Managers,Detailed Occupation,2018 SOC,Yes
"Education and Childcare Administrators, Preschool and Daycare",Education and Childcare Administrators,Detailed Occupation,2018 SOC,Yes
"Education Administrators, Kindergarten through Secondary",Education and Childcare Administrators,Detailed Occupation,2018 SOC,Yes
"Education Administrators, Postsecondary",Education and Childcare Administrators,Detailed Occupation,2018 SOC,Yes
"Education Administrators, All Other",Education and Childcare Administrators,Detailed Occupation,2018 SOC,Yes
Architectural and Engineering Managers,Architectural and Engineering Managers,Detailed Occupation,2018 SOC,Yes
Food Service Managers,Food Service Managers,Detailed Occupation,2018 SOC,Yes
Gambling Managers,Entertainment and Recreation Managers,Detailed Occupation,2018 SOC,Yes
"Entertainment and Recreation Managers, Except Gambling",Entertainment and Recreation Managers,Detailed Occupation,2018 SOC,Yes
Lodging Managers,Lodging Managers,Detailed Occupation,2018 SOC,Yes
Medical and Health Services Managers,Medical and Health Services Managers,Detailed Occupation,2018 SOC,Yes
Natural Sciences Managers,Natural Sciences Managers,Detailed Occupation,2018 SOC,Yes
Postmasters and Mail Superintendents,Postmasters and Mail Superintendents,Detailed Occupation,2018 SOC,Yes
"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers",Detailed Occupation,2018 SOC,Yes
Social and Community Service Managers,Social and Community Service Managers,Detailed Occupation,2018 SOC,Yes
Emergency Management Directors,Emergency Management Directors,Detailed Occupation,2018 SOC,Yes
Funeral Home Managers,Personal Service Managers,Detailed Occupation,2018 SOC,Yes
"Personal Service Managers, All Other",Personal Service Managers,Detailed Occupation,2018 SOC,Yes
"Managers, All Other",Miscellaneous Managers,Detailed Occupation,2018 SOC,Yes
"Agents and Business Managers of Artists, Performers, and Athletes","Agents and Business Managers of Artists, Performers, and Athletes",Detailed Occupation,2018 SOC,Yes
"Buyers and Purchasing Agents, Farm Products",Buyers and Purchasing Agents,Detailed Occupation,2018 SOC,Yes
"Wholesale and Retail Buyers, Except Farm Products",Buyers and Purchasing Agents,Detailed Occupation,2018 SOC,Yes
