name,parent,concept_name,source,standard_semantic_hierarchy
Chief Executives,Top Executives,Broad Occupation,2018 SOC,Yes
General and Operations Managers,Top Executives,Broad Occupation,2018 SOC,Yes
Legislators,Top Executives,Broad Occupation,2018 SOC,Yes
Advertising and Promotions Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Broad Occupation,2018 SOC,Yes
Marketing and Sales Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Broad Occupation,2018 SOC,Yes
Public Relations and Fundraising Managers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Broad Occupation,2018 SOC,Yes
Administrative Services and Facilities Managers,Operations Specialties Managers,Broad Occupation,2018 SOC,Yes
Computer and Information Systems Managers,Operations Specialties Managers,Broad Occupation,2018 SOC,Yes
Financial Managers,Operations Specialties Managers,Broad Occupation,2018 SOC,Yes
Industrial Production Managers,Operations Specialties Managers,Broad Occupation,2018 SOC,Yes
Purchasing Managers,Operations Specialties Managers,Broad Occupation,2018 SOC,Yes
"Transportation, Storage, and Distribution Managers",Operations Specialties Managers,Broad Occupation,2018 SOC,Yes
Compensation and Benefits Managers,Operations Specialties Managers,Broad Occupation,2018 SOC,Yes
Human Resources Managers,Operations Specialties Managers,Broad Occupation,2018 SOC,Yes
Training and Development Managers,Operations Specialties Managers,Broad Occupation,2018 SOC,Yes
"Farmers, Ranchers, and Other Agricultural Managers",Other Management Occupations,Broad Occupation,2018 SOC,Yes
Construction Managers,Other Management Occupations,Broad Occupation,2018 SOC,Yes
Education and Childcare Administrators,Other Management Occupations,Broad Occupation,2018 SOC,Yes
Architectural and Engineering Managers,Other Management Occupations,Broad Occupation,2018 SOC,Yes
Food Service Managers,Other Management Occupations,Broad Occupation,2018 SOC,Yes
Entertainment and Recreation Managers,Other Management Occupations,Broad Occupation,2018 SOC,Yes
Lodging Managers,Other Management Occupations,Broad Occupation,2018 SOC,Yes
Medical and Health Services Managers,Other Management Occupations,Broad Occupation,2018 SOC,Yes
Natural Sciences Managers,Other Management Occupations,Broad Occupation,2018 SOC,Yes
Postmasters and Mail Superintendents,Other Management Occupations,Broad Occupation,2018 SOC,Yes
"Property, Real Estate, and Community Association Managers",Other Management Occupations,Broad Occupation,2018 SOC,Yes
Social and Community Service Managers,Other Management Occupations,Broad Occupation,2018 SOC,Yes
Emergency Management Directors,Other Management Occupations,Broad Occupation,2018 SOC,Yes
Personal Service Managers,Other Management Occupations,Broad Occupation,2018 SOC,Yes
Miscellaneous Managers,Other Management Occupations,Broad Occupation,2018 SOC,Yes
"Agents and Business Managers of Artists, Performers, and Athletes",Business Operations Specialists,Broad Occupation,2018 SOC,Yes
Buyers and Purchasing Agents,Business Operations Specialists,Broad Occupation,2018 SOC,Yes
"Claims Adjusters, Appraisers, Examiners, and Investigators",Business Operations Specialists,Broad Occupation,2018 SOC,Yes
Compliance Officers,Business Operations Specialists,Broad Occupation,2018 SOC,Yes
Cost Estimators,Business Operations Specialists,Broad Occupation,2018 SOC,Yes
Human Resources Workers,Business Operations Specialists,Broad Occupation,2018 SOC,Yes
Logisticians and Project Management Specialists,Business Operations Specialists,Broad Occupation,2018 SOC,Yes
Management Analysts,Business Operations Specialists,Broad Occupation,2018 SOC,Yes
"Meeting, Convention, and Event Planners",Business Operations Specialists,Broad Occupation,2018 SOC,Yes
